Movie Name,Votes,Certification,Gross (USD millions),Star 1,Star 2,Star 3,Star 4,Genre1,Genre2,Genre3,Popularity
The Witcher: Nightmare of the Wolf,47178,TV-MA,,Theo James,Mary McDonnell,Lara Pulver,Graham McTavish,Animation, Action, Adventure,
Django,29398,Not Rated,0.03,Franco Nero,José Canalejas,José Bódalo,Loredana Nusciak,Action, Drama, Western,
The Siege of Jadotville,41917,TV-MA,,Richard Lukunku,Danny Sapani,Andrew Stock,Mark Strong,Action, Drama, History,
'71,58138,R,1.27,Jack O'Connell,Sam Reid,Sean Harris,Paul Popplewell,Action, Crime, Drama,
Bajirao Mastani,36920,Not Rated,6.56,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,Tanvi Azmi,Action, Drama, History,
Fist of Fury,32035,R,1.29,Bruce Lee,Nora Miao,James Tien,Maria Yi,Action, Drama, Romance,
Harry Brown,89500,R,1.82,Michael Caine,Emily Mortimer,David Bradley,Charlie Creed-Miles,Action, Crime, Drama,
The Good the Bad the Weird,36771,R,0.13,Song Kang-ho,Lee Byung-hun,Jung Woo-sung,Je-mun Yun,Action, Adventure, Comedy,
Marshland,35048,TV-MA,,Javier Gutiérrez,Raúl Arévalo,María Varod,Perico Cervantes,Action, Crime, Mystery,
Final Fantasy VII: Advent Children,57218,PG-13,,Takahiro Sakurai,Ayumi Ito,Shôtarô Morikubo,Maaya Sakamoto,Animation, Action, Adventure,
Mongol: The Rise of Genghis Khan,47956,R,5.7,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun,Honglei Sun,Action, Biography, Drama,
Holiday: A Soldier is Never Off Duty,29147,Not Rated,0.71,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghavan,Action, Crime, Thriller,
Furious 7,400724,PG-13,353.01,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,Action, Crime, Thriller,74
The Mummy (1999),443825,PG-13,155.25,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Action, Adventure, Fantasy,328
Mission: Impossible,438929,PG-13,180.98,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,Action, Adventure, Thriller,376
Free Guy,391066,PG-13,121.63,Ryan Reynolds,Jodie Comer,Taika Waititi,Lil Rel Howery,Action, Adventure, Comedy,378
Wrath of Man,190349,R,27.47,Jason Statham,Holt McCallany,Josh Hartnett,Rocci Boy Williams,Action, Crime, Thriller,391
Tropic Thunder,429323,R,110.52,Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn,Action, Comedy, War,541
Prey,207116,R,,Amber Midthunder,Dakota Beavers,Dane DiLiegro,Stormee Kipp,Action, Adventure, Drama,644
Man of Steel,786289,PG-13,291.05,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Action, Adventure, Sci-Fi,761
Everest,224087,PG-13,43.48,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,Martin Henderson,Action, Adventure, Biography,804
Blade,284556,R,70.09,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Action, Horror, Sci-Fi,845
Shooter,342117,R,47,Mark Wahlberg,Michael Peña,Rhona Mitra,Danny Glover,Action, Drama, Thriller,1094
Batman Returns,313793,PG-13,162.83,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,Action, Crime, Fantasy,1126
Highlander,140817,R,5.9,Christopher Lambert,Sean Connery,Clancy Brown,Roxanne Hart,Action, Adventure, Fantasy,1167
Iron Man 3,869515,PG-13,409.01,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,Action, Adventure, Sci-Fi,1198
WarGames,104417,PG,79.57,Matthew Broderick,Ally Sheedy,John Wood,Dabney Coleman,Action, Drama, Sci-Fi,1225
Dredd,282758,R,13.41,Karl Urban,Olivia Thirlby,Lena Headey,Rachel Wood,Action, Crime, Sci-Fi,1270
Snowpiercer,372024,R,4.56,Chris Evans,Jamie Bell,Tilda Swinton,Ed Harris,Action, Drama, Sci-Fi,1272
Pirates of the Caribbean: At World's End,667093,PG-13,309.42,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,Action, Adventure, Fantasy,1452
American Made,193434,R,51.34,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,Action, Comedy, Crime,1467
Creed II,144393,PG-13,115.72,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,Action, Drama, Sport,1545
DC League of Super-Pets,69395,PG,93.66,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski,Animation, Action, Adventure,1552
Desperado,191185,R,25.63,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,Action, Crime, Thriller,1816
"I, Robot",554830,PG-13,144.8,Will Smith,Bridget Moynahan,Bruce Greenwood,Alan Tudyk,Action, Mystery, Sci-Fi,1935
Escape from New York,148907,R,25.24,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,Action, Adventure, Sci-Fi,2024
We Were Soldiers,146539,R,78.12,Mel Gibson,Madeleine Stowe,Greg Kinnear,Sam Elliott,Action, Drama, History,2052
Live Free or Die Hard,412479,PG-13,134.53,Bruce Willis,Justin Long,Timothy Olyphant,Maggie Q,Action, Thriller,,2180
Allied,162655,R,40.1,Brad Pitt,Marion Cotillard,Jared Harris,Vincent Ebrahim,Action, Drama, Romance,2275
The Poseidon Adventure,47244,PG,84.56,Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons,Action, Adventure, Drama,2376
Kung Fu Panda 3,170045,PG,143.53,Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,Animation, Action, Adventure,2397
Planet Terror,216804,R,,Rose McGowan,Freddy Rodríguez,Josh Brolin,Marley Shelton,Action, Comedy, Horror,2490
Casualties of War,46307,R,18.67,Michael J. Fox,Sean Penn,Don Harvey,John C. Reilly,Action, Crime, Drama,2623
No Way Out,42834,R,35.51,Kevin Costner,Gene Hackman,Sean Young,Will Patton,Action, Crime, Drama,2673
Rocky Balboa,224586,PG,70.27,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,Burt Young,Action, Drama, Sport,2726
Deepwater Horizon,174255,PG-13,61.43,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,Action, Drama, History,2795
Deja Vu,317834,PG-13,64.04,Denzel Washington,Paula Patton,Jim Caviezel,Val Kilmer,Action, Crime, Sci-Fi,3057
Defiance,152028,R,28.64,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Action, Drama, History,3514
Three Kings,175946,R,60.65,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,Action, Adventure, Comedy,3789
Die Hard 2,370636,R,117.54,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,Action, Thriller,,3851
Brawl in Cell Block 99,70816,Not Rated,,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,Action, Crime, Drama,4474
Payback,141506,R,81.53,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,Action, Crime, Drama,4647
Flags of Our Fathers,126187,R,33.6,Ryan Phillippe,Barry Pepper,Joseph Cross,Jesse Bradford,Action, Adventure, Drama,4661
Ong-Bak: The Thai Warrior,76406,R,4.56,Tony Jaa,Phetthai Vongkumlao,Pumwaree Yodkamol,Suchao Pongwilai,Action, Crime, Thriller,
Megan Leavey,25029,PG-13,13.41,Kate Mara,Ramón Rodríguez,Tom Felton,Bradley Whitford,Action, Biography, Drama,
District B13,72080,R,1.2,Cyril Raffaelli,David Belle,Tony D'Amario,Bibi Naceri,Action, Crime, Sci-Fi,
Mosul,28493,TV-MA,,Waleed Elgadi,Suhail Dabbach,Adam Bessa,Is'haq Elias,Action, Drama, War,
The Girl Who Played with Fire,96827,R,9.08,Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson,Action, Crime, Drama,
God Bless America,71034,R,0.12,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Melinda Page Hamilton,Action, Comedy, Crime,
In Order of Disappearance,28119,R,0.05,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,Jakob Oftebro,Action, Comedy, Crime,
Kaabil,28013,Not Rated,,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,Action, Crime, Drama,
JCVD,39633,R,0.47,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen,Action, Comedy, Crime,
Dragon Ball Z: Battle of Gods,28930,TV-PG,2.55,Masako Nozawa,Hiromi Tsuru,Ryô Horikawa,Masaharu Satô,Animation, Action, Adventure,
Don,38919,Not Rated,0.8,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,Isha Koppikar,Action, Crime, Thriller,
Micmacs,30800,R,1.26,Dany Boon,André Dussollier,Nicolas Marié,Yolande Moreau,Action, Comedy, Crime,
Koi... Mil Gaya,25669,Not Rated,0.68,Hrithik Roshan,Rekha,Preity G Zinta,Rakesh Roshan,Action, Drama, Romance,
Fanaa,33916,Not Rated,2.1,Aamir Khan,Kajol,Rishi Kapoor,Tabu,Action, Drama, Romance,
Marighella,55585,155 min,,Seu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos,Humberto Carrão,Action, Drama, History,
Enthiran,28667,Not Rated,4.37,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,Action, Sci-Fi, Thriller,
Gabbar Is Back,25777,Not Rated,,Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman,Action, Crime, Drama,
Sisu,28606,R,,Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,Action, War,,11
Thor,868783,PG-13,181.03,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,Action, Fantasy,,49
Fast & Furious 6,404142,PG-13,238.68,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Action, Adventure, Crime,107
Shazam!,363592,PG-13,140.37,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,Action, Adventure, Comedy,133
The Unbearable Weight of Massive Talent,123895,R,,Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan,Action, Comedy, Crime,211
Transformers,651853,PG-13,319.25,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,Action, Adventure, Sci-Fi,229
The Northman,228304,R,34.23,Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke,Action, Adventure, Drama,285
Ant-Man and the Wasp,425228,PG-13,216.65,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,Action, Adventure, Comedy,335
Independence Day,586673,PG-13,306.17,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Action, Adventure, Sci-Fi,363
Jack Reacher,350022,PG-13,80.07,Tom Cruise,Rosamund Pike,Richard Jenkins,Werner Herzog,Action, Mystery, Thriller,404
World War Z,687644,PG-13,202.36,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,Action, Adventure, Horror,557
Death Proof,300898,R,,Kurt Russell,Zoë Bell,Rosario Dawson,Vanessa Ferlito,Action, Thriller,,786
Super 8,360907,PG-13,127,Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,Action, Mystery, Sci-Fi,821
Constantine,358406,R,75.98,Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf,Action, Fantasy, Horror,943
Star Trek Beyond,251817,PG-13,158.85,Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,Action, Adventure, Sci-Fi,962
Cloverfield,408762,PG-13,80.05,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller,Action, Adventure, Horror,1026
Rush Hour,279301,PG-13,141.15,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,Action, Comedy, Crime,1066
The Italian Job,377197,PG-13,106.13,Donald Sutherland,Mark Wahlberg,Edward Norton,Charlize Theron,Action, Crime, Thriller,1111
Smokey and the Bandit,53990,PG,126.74,Burt Reynolds,Sally Field,Jerry Reed,Mike Henry,Action, Adventure, Comedy,1116
Oblivion,537535,PG-13,89.02,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,Action, Adventure, Sci-Fi,1233
Pitch Black,246981,R,39.24,Radha Mitchell,Cole Hauser,Vin Diesel,Keith David,Action, Horror, Sci-Fi,1250
Stargate,197154,PG-13,71.57,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,Action, Adventure, Sci-Fi,1300
Sicario: Day of the Soldado,156321,R,50.07,Benicio Del Toro,Josh Brolin,Isabela Merced,Jeffrey Donovan,Action, Crime, Drama,1304
Greyhound,103387,PG-13,,Tom Hanks,Elisabeth Shue,Stephen Graham,Matt Helm,Action, Drama, History,1325
Brotherhood of the Wolf,68688,R,11.26,Samuel Le Bihan,Mark Dacascos,Jérémie Renier,Vincent Cassel,Action, Adventure, Drama,1342
Den of Thieves,117746,R,44.95,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,Action, Crime, Drama,1375
RED,315634,PG-13,90.38,Bruce Willis,Helen Mirren,Morgan Freeman,Mary-Louise Parker,Action, Comedy, Crime,1469
Underworld,277026,R,51.97,Kate Beckinsale,Scott Speedman,Shane Brolly,Michael Sheen,Action, Fantasy, Thriller,1505
Spy,250318,R,110.83,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham,Action, Comedy,,1513
Real Steel,340513,PG-13,85.47,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,Action, Drama, Sci-Fi,1977
Logan Lucky,155375,PG-13,27.78,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie,Action, Comedy, Crime,2089
22 Jump Street,389242,R,191.72,Channing Tatum,Jonah Hill,Ice Cube,Nick Offerman,Action, Comedy, Crime,2135
Bronson,135779,R,0.1,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker,Action, Crime, Drama,2353
Public Enemies,309798,R,97.1,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,Action, Biography, Crime,2384
The Last Boy Scout,107419,R,59.51,Bruce Willis,Damon Wayans,Chelsea Field,Noble Willingham,Action, Comedy, Crime,2764
Chronicle,256735,PG-13,64.58,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,Action, Drama, Sci-Fi,2861
Chip 'n Dale: Rescue Rangers,43653,PG,,Andy Samberg,John Mulaney,KiKi Layne,Will Arnett,Animation, Action, Adventure,2921
A Most Violent Year,74857,R,5.74,Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola,Action, Crime, Drama,3020
Body of Lies,233008,R,39.39,Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani,Action, Drama, Thriller,3035
Rambo,237680,R,42.75,Sylvester Stallone,Julie Benz,Matthew Marsden,Graham McTavish,Action, Adventure, Thriller,3037
Fallen,87116,R,25.19,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,Action, Crime, Drama,3183
9,143215,PG-13,31.74,Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer,Animation, Action, Adventure,3201
Hellboy II: The Golden Army,278457,PG-13,75.75,Ron Perlman,Selma Blair,Doug Jones,John Alexander,Action, Adventure, Fantasy,3405
The Foreigner,118433,R,34.39,Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy,Action, Thriller,,3486
The Towering Inferno,46068,PG,116,Paul Newman,Steve McQueen,William Holden,Faye Dunaway,Action, Drama, Thriller,3563
Ip Man 4: The Finale,34500,Not Rated,3.96,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan,Vanness Wu,Action, Biography, Drama,3811
The Kingdom,128559,R,47.54,Jamie Foxx,Chris Cooper,Jennifer Garner,Jason Bateman,Action, Drama, Thriller,3818
Filth,112338,R,0.03,James McAvoy,Jamie Bell,Eddie Marsan,Imogen Poots,Action, Comedy, Crime,3857
The Spy Who Loved Me,112216,PG,46.8,Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,Action, Adventure, Thriller,3886
Spy Game,161055,R,0.03,Robert Redford,Brad Pitt,Catherine McCormack,Stephen Dillane,Action, Crime, Thriller,4632
Maverick,115194,PG,101.63,Mel Gibson,Jodie Foster,James Garner,Graham Greene,Action, Adventure, Comedy,4808
Ichi the Killer,58055,R,0.02,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto,Paulyn Sun,Action, Crime, Drama,4851
Thunderbolt and Lightfoot,26904,R,25,Clint Eastwood,Jeff Bridges,George Kennedy,Geoffrey Lewis,Action, Comedy, Crime,4984
Juice,28617,R,20.15,Omar Epps,Tupac Shakur,Jermaine Hopkins,Khalil Kain,Action, Crime, Drama,
The War of the Worlds,37154,G,4.36,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,Action, Sci-Fi, Thriller,
Son of Rambow,32519,PG-13,1.78,Bill Milner,Will Poulter,Jessica Hynes,Anna Wing,Action, Adventure, Comedy,
An Action Hero,29378,U,,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav,Gautam Joglekar,Action, Comedy, Crime,
Taxi (1998),86214,Not Rated,0.27,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Manuela Gourary,Action, Comedy, Crime,
Unleashed,105421,R,24.52,Jet Li,Bob Hoskins,Morgan Freeman,Kerry Condon,Action, Crime, Drama,
Ip Man 3,57854,PG-13,2.68,Donnie Yen,Lynn Xiong,Jin Zhang,Mike Tyson,Action, Biography, Drama,
Dragon: The Bruce Lee Story,31982,PG-13,35.11,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned,Action, Biography, Drama,
The Protector,38150,R,11.91,Tony Jaa,Nathan Jones,Xing Jin,Phetthai Vongkumlao,Action, Crime, Drama,
Curse of the Golden Flower,45102,R,6.57,Chow Yun-Fat,Gong Li,Jay Chou,Ye Liu,Action, Drama, Romance,
Don 2,55290,Not Rated,3.68,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,Action, Crime, Thriller,
Sultan,48964,Not Rated,6.2,Salman Khan,Anushka Sharma,Randeep Hooda,Amit Sadh,Action, Drama, Romance,
Kabir Singh,35850,Not Rated,,Shahid Kapoor,Kiara Advani,Nikita Dutta,Soham Majumdar,Action, Drama, Romance,
Main Hoon Na,37759,Not Rated,1.72,Shah Rukh Khan,Sushmita Sen,Suniel Shetty,Zayed Khan,Action, Comedy, Drama,
Vikrant Rona,27935,Not Rated,,Sudeep,Nirup Bhandari,Neetha Ashok,Jacqueline Fernandez,Action, Crime, Drama,
The Warlords,27375,R,0.13,Jet Li,Andy Lau,Takeshi Kaneshiro,Jinglei Xu,Action, Adventure, Drama,
The Legend Is Born: Ip Man,32531,Not Rated,,Yu-Hang To,Yi Huang,Biao Yuen,Siu-Wong Fan,Action, Biography, Drama,
Top Gun,474681,PG,179.8,Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer,Action, Drama,,142
The Last Kingdom: Seven Kings Must Die,26243,TV-MA,,Mark Rowley,Pekka Strang,Zoltan Andrasi,Ingrid García Jonsson,Action, Drama, History,182
Conan the Barbarian (1982),155515,R,39.57,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,Sandahl Bergman,Action, Adventure, Fantasy,299
Doctor Strange in the Multiverse of Madness,439159,PG-13,411.33,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,Action, Adventure, Fantasy,308
Clash of the Titans (1981),45998,PG,41.09,Laurence Olivier,Harry Hamlin,Claire Bloom,Maggie Smith,Action, Adventure, Family,447
Game Night,244648,R,69.18,Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan,Action, Adventure, Comedy,457
Jumanji: Welcome to the Jungle,397038,PG-13,404.52,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,Action, Adventure, Comedy,468
Captain America: The First Avenger,864845,PG-13,176.65,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,Action, Adventure, Sci-Fi,650
The Mask,399246,PG-13,119.94,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,Action, Comedy, Crime,698
Mission: Impossible III,366632,PG-13,134.03,Tom Cruise,Michelle Monaghan,Ving Rhames,Philip Seymour Hoffman,Action, Adventure, Thriller,749
Solo: A Star Wars Story,360930,PG-13,213.77,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,Action, Adventure, Sci-Fi,768
Thunderball,122471,PG,63.6,Sean Connery,Claudine Auger,Adolfo Celi,Luciana Paluzzi,Action, Adventure, Thriller,772
The Amazing Spider-Man,672640,PG-13,262.03,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan,Action, Adventure, Sci-Fi,798
Jurassic World,657048,PG-13,652.27,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,Action, Adventure, Sci-Fi,840
Star Wars: Episode VIII - The Last Jedi,647965,PG-13,620.18,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,Action, Adventure, Fantasy,877
A Knight's Tale,193512,PG-13,56.57,Heath Ledger,Mark Addy,Rufus Sewell,Shannyn Sossamon,Action, Adventure, Romance,976
Con Air,308157,R,101.12,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney,Action, Crime, Thriller,1204
X-Men: Apocalypse,445916,PG-13,155.44,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Action, Adventure, Sci-Fi,1398
Pacific Rim,513275,PG-13,101.8,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,Action, Adventure, Sci-Fi,1424
Iron Man 2,837099,PG-13,312.43,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle,Action, Sci-Fi,,1473
Romancing the Stone,98633,PG,76.57,Michael Douglas,Kathleen Turner,Danny DeVito,Zack Norman,Action, Adventure, Comedy,1626
National Treasure,342986,PG,173.01,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,Action, Adventure, Mystery,1657
Robin Hood: Prince of Thieves,200605,PG-13,165.5,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,Action, Adventure, Drama,1729
Atlantis: The Lost Empire,126290,PG,84.05,Michael J. Fox,Jim Varney,Corey Burton,Claudia Christian,Animation, Action, Adventure,1751
The Hitman's Bodyguard,238246,R,75.47,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung,Action, Comedy, Crime,2007
Dragged Across Concrete,51029,R,,Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White,Action, Crime, Drama,2073
Love and Monsters,134403,PG-13,1.07,Dylan O'Brien,Jessica Henwick,Michael Rooker,Dan Ewing,Action, Adventure, Comedy,2082
28 Weeks Later,283640,R,28.64,Jeremy Renner,Rose Byrne,Robert Carlyle,Harold Perrineau,Action, Adventure, Horror,2133
Outlaw King,76158,R,,Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,Action, Biography, Drama,2261
The World's End,289027,R,26,Simon Pegg,Nick Frost,Martin Freeman,Rosamund Pike,Action, Comedy, Sci-Fi,2495
Pineapple Express,347818,R,87.34,Seth Rogen,James Franco,Gary Cole,Danny McBride,Action, Comedy, Crime,2614
In the Heart of the Sea,143205,PG-13,25.02,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,Ben Whishaw,Action, Adventure, Biography,2650
Crank,255676,R,27.83,Jason Statham,Amy Smart,Carlos Sanz,Jose Pablo Cantillo,Action, Crime, Thriller,2707
48 Hrs.,81480,R,78.87,Nick Nolte,Eddie Murphy,Annette O'Toole,Frank McRae,Action, Comedy, Crime,3029
Clear and Present Danger,103595,PG-13,122.19,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,Action, Crime, Drama,3141
Death Wish (1974),41292,R,22,Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,Action, Crime, Drama,3365
The Edge,76199,R,27.78,Anthony Hopkins,Alec Baldwin,Elle Macpherson,Harold Perrineau,Action, Adventure, Drama,3483
Non-Stop,269642,PG-13,92.17,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,Action, Mystery, Thriller,3839
The Last Castle,82897,R,18.21,Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,Action, Drama, Thriller,4206
The Guardian,95386,PG-13,55.01,Kevin Costner,Ashton Kutcher,Sela Ward,Melissa Sagemiller,Action, Adventure, Drama,4305
Westworld,60651,PG,16.06,Yul Brynner,Richard Benjamin,James Brolin,Norman Bartold,Action, Sci-Fi, Thriller,4455
The Night Comes for Us,27715,TV-MA,,Iko Uwais,Joe Taslim,Julie Estelle,Hannah Al Rashid,Action, Crime, Thriller,4685
Repo Man,39061,R,3.57,Harry Dean Stanton,Emilio Estevez,Tracey Walter,Olivia Barash,Action, Comedy, Crime,
The Monster Squad,33676,PG-13,3.77,Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,Action, Comedy, Fantasy,
Free State of Jones,59722,R,20.76,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,Action, Biography, Drama,
Legend of the Guardians: The Owls of Ga'Hoole,85253,PG,55.68,Jim Sturgess,Hugo Weaving,David Wenham,Emily Barclay,Animation, Action, Adventure,
Get the Gringo,109800,R,,Mel Gibson,Kevin Balmore,Daniel Giménez Cacho,Jesús Ochoa,Action, Drama, Thriller,
Muppet Treasure Island,25303,G,33.61,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,Action, Adventure, Comedy,
All Is Lost,82028,PG-13,6.26,Robert Redford,,,,Action, Adventure, Drama,
Memphis Belle,29429,PG-13,27.44,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney,Action, Drama, War,
Slow West,46638,R,0.23,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,Jeffrey Thomas,Action, Adventure, Drama,
The Big Boss,28167,R,0.04,Bruce Lee,Maria Yi,James Tien,Marilyn Bautista,Action, Crime, Drama,
New Police Story,28048,R,,Jackie Chan,Nicholas Tse,Charlie Yeung,Daniel Wu,Action, Crime, Thriller,
Agneepath,25536,Not Rated,1.98,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt,Rishi Kapoor,Action, Crime, Drama,
Alan Partridge,32460,R,0.15,Steve Coogan,Colm Meaney,Tim Key,Karl Theobald,Action, Comedy, Crime,
Traitor,58460,PG-13,23.53,Don Cheadle,Guy Pearce,Archie Panjabi,Saïd Taghmaoui,Action, Crime, Drama,
Fan,47527,Not Rated,1.36,Shah Rukh Khan,Shriya Pilgaonkar,Sayani Gupta,Waluscha D'Souza,Action, Drama, Thriller,
The Fast and the Furious,399891,PG-13,144.53,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,Action, Crime, Thriller,40
The Woman King,61408,PG-13,67.33,Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim,Action, Drama, History,309
The Magnificent Seven,219298,PG-13,93.43,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,Action, Adventure, Drama,319
Aquaman,491441,PG-13,335.06,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,Action, Adventure, Fantasy,381
Ready or Not,163887,R,28.71,Samara Weaving,Adam Brody,Mark O'Brien,Henry Czerny,Action, Comedy, Horror,411
Thor: The Dark World,699806,PG-13,206.36,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård,Action, Adventure, Fantasy,556
Mad Max,213408,R,8.75,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley,Action, Adventure, Sci-Fi,616
Captain Marvel,579577,PG-13,426.83,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,Action, Adventure, Sci-Fi,647
